# vostok matching ledger - generated by vostok.ledger.store. DO NOT hand-edit.
#   one row per target function; the derived roster is rebuilt from report.json
#
#   cur    fuzzy % in this build (noisy under LTCG/ICF)
#   max    peak for THIS source body (`hash`); resets only when `hash` changes.
#          Campaign goal: drive every max to 100.
#   hist   all-time peak; NEVER resets. hist > max = we had it better once.
#   tries  matcher dispatches that included this function (high = hard to match).
#          It moves ONLY when someone runs `vostok ledger tried` - a build that
#          changes the body does NOT bump it.
#   hash   12 hex chars of the function's own source body. Module/TU context is
#          deliberately excluded - it is diagnosis, not a gate.
#   cls    MATCH (statements identical) | SIZE (same count+geometry, bytes
#          differ) | QUANTITY (counts differ) | SPLIT (counts equal, unpairable)
#   status done (max>=100) | inprogress | blocked (something missing) |
#          parked (failed to raise it further)
mangled	unit	module	status	cls	cur	max	hist	tries	size	flags	hash	note
??$?0$$BY00$$CBD@path_string_impl@fs_new@vostok@@QAE@DAAY00$$CBD@Z	vostok/fs/path_string_impl_inline.h	fs	done	MATCH	100	100	100	1	50		e492b03076e5	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0$$BY00$$CBD@virtual_path_string@fs_new@vostok@@QAE@AAY00$$CBD@Z	vostok/fs/virtual_path_string.h	fs	done	MATCH	100	100	100	0	30		2d67372fbfed	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0$01$01@draw_lines_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY01$$CBUvertex_colored@23@AAY01$$CBG_N@Z	vostok/render/facade/sources/debug_draw_lines_command_inline.h	render	done	MATCH	100	100	100	1	141	f	f9031ac6ea67	auto: at 100% ceiling, demoted from queue
??$?0$02$02@draw_triangles_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY02$$CBUvertex_colored@23@AAY02$$CBG_N@Z	vostok/render/facade/sources/debug_draw_triangles_command_inline.h	render	done	MATCH	100	100	100	1	142	f	f9031ac6ea67	auto: at 100% ceiling, demoted from queue
??$?0$05$05@draw_lines_command@debug@render@vostok@@QAE@ABV?$resource_ptr@Ubase_scene@render@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@3@AAVworld@engine@23@AAVbase_allocator@memory@3@AAY05$$CBUvertex_colored@23@AAY05$$CBG_N@Z	vostok/render/facade/sources/debug_draw_lines_command_inline.h	render	done	MATCH	100	100	100	0	141	f	f9031ac6ea67	
??$?0M@shader_constant_binding@render@vostok@@QAE@ABVshared_string@2@PBM@Z	vostok/render/core/shader_constant_binding_inline.h	render	done	MATCH	100	100	100	2	51	f	3d8d06ed380c	Fresh PDB/template audit confirms the original two-statement constructor, sole source parameter local, initializer order, and exact 51-byte target body. Current renderer-context budget inlines this specialization; forcing a standalone copy would fabricate target structure.
??$?0P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@12@@Z@?$function9@XPAXPBDIPBDPBDW4verbosity@logging@vostok@@PBDIW4callback_flag@23@@boost@@QAE@P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@34@@ZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	69	f	bbe132cd2f39	
??$?0P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@12@@Z@?$function@$$A6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@23@@Z@boost@@QAE@P6AXPAXPBDI11W4verbosity@logging@vostok@@1IW4callback_flag@34@@ZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	18	f	a2d94b68e81d	
??$?0P6AXXZ@?$function0@X@boost@@QAE@P6AXXZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	69	f	bbe132cd2f39	auto: at 100% ceiling, demoted from queue
??$?0P6AXXZ@?$function@$$A6AXXZ@boost@@QAE@P6AXXZH@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	13	f	a2d94b68e81d	auto: at 100% ceiling, demoted from queue
??$?0PADPBDPBD@tuples@detail@strings@vostok@@QAE@PADPBD1@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	121	f	c0c45f7a4e40	auto: at 100% ceiling, demoted from queue
??$?0PAX@?$vectora_allocator@V?$fixed_vector@I$0CA@@vostok@@@vostok@@QAE@ABV?$vectora_allocator@PAX@1@@Z	vostok/vectora.h	vostok	done	MATCH	100	100	100	0	26		9a34355f0ff1	
??$?0PAXUnoop_deleter@socket_ops@detail@asio@boost@@@shared_count@detail@boost@@QAE@PAXUnoop_deleter@socket_ops@1asio@2@@Z	boost/smart_ptr/detail/shared_count.hpp	boost	done	SIZE	88.5227	100	100	0	149		346bf1fe4625	
??$?0PBD@buffer_string@vostok@@QAE@PADABIABQBD2@Z	vostok/buffer_string_inline.h	vostok	done	MATCH	100	100	100	0	65	f	e1446d2d6cae	
??$?0PBD@native_path_string@fs_new@vostok@@QAE@ABQBD@Z	vostok/fs/native_path_string.h	fs	done	MATCH	100	100	100	2	40	f	d2a797e953b6	auto: at 100% ceiling, demoted from queue
??$?0PBD@path_string_impl@fs_new@vostok@@QAE@DABQBD@Z	vostok/fs/path_string_impl_inline.h	fs	done	MATCH	100	100	100	2	53	f	e492b03076e5	auto: at 100% ceiling, demoted from queue
??$?0PBD@virtual_path_string@fs_new@vostok@@QAE@ABQBD@Z	vostok/fs/virtual_path_string.h	fs	done	MATCH	100	100	100	0	30		2d67372fbfed	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0PBDPADPBD@tuples@detail@strings@vostok@@QAE@PBDPAD0@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	0	120	f	c0c45f7a4e40	
??$?0PBDPBD@tuples@detail@strings@vostok@@QAE@PBD0@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	101	f	89c309fc3cb6	auto: at 100% ceiling, demoted from queue
??$?0PBDPBDPBD@tuples@detail@strings@vostok@@QAE@PBD00@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	151	f	c0c45f7a4e40	auto: at 100% ceiling, demoted from queue
??$?0PBDPBDPBDPBDPBD@tuples@detail@strings@vostok@@QAE@PBD0000@Z	vostok/strings_detail_tuples_inline.h	vostok	parked	MATCH	99.7436	99.7436	99.7436	1	113		853e44651597	Shared/header source and target structure were verified. Residual is target-only or differently owned COMDAT emission, /Od helper inline depth, compiled-assert attribution, secure-CRT context, or LTCG custom convention; no faithful per-function source edit can steer it.
??$?0PBUgame_object@ai@vostok@@@?$vectora_allocator@PBX@vostok@@QAE@ABV?$vectora_allocator@PBUgame_object@ai@vostok@@@1@@Z	vostok/vectora.h	vostok	done	MATCH	100	100	100	0	34		9a34355f0ff1	
??$?0Uhelper@?$platform_pointer_selector@D$00@vostok@@@path_string_impl@fs_new@vostok@@QAE@DABUhelper@?$platform_pointer_selector@D$00@2@@Z	vostok/fs/path_string_impl_inline.h	fs	done	MATCH	100	100	100	1	58		e492b03076e5	
??$?0Utimer_thread_function@win_iocp_io_service@detail@asio@boost@@@win_thread@detail@asio@boost@@QAE@Utimer_thread_function@win_iocp_io_service@123@I@Z	boost/asio/detail/win_thread.hpp	boost	done	MATCH	100	100	100	0	153		2ad803098c98	
??$?0V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@?$stream@AAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@ssl@asio@boost@@QAE@AAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@23@AAVcontext@123@@Z	boost/asio/ssl/stream.hpp	boost	done	MATCH	100	100	100	0	107		684108b9ca38	
