# MANUALLY MANAGED - admitted retail data starts from the shipped PDB.
# Extents and owner/name evidence are derived separately; builds do not rewrite this.
rva	kind
0x7e4000	datum
0x7e4004	datum
0x7e4008	datum
0x7e400c	datum
0x7e4010	datum
0x7e4014	datum
0x7e4018	datum
0x7e401c	datum
0x7e4020	datum
0x7e4024	datum
0x7e4028	datum
0x7e402c	datum
0x7e4030	datum
0x7e4034	datum
0x7e4038	datum
0x7e403c	datum
0x7e4040	datum
0x7e4044	datum
0x7e4048	datum
0x7e404c	datum
0x7e4050	datum
0x7e4054	datum
0x7e4058	datum
0x7e405c	datum
0x7e4060	datum
0x7e4064	datum
0x7e4068	datum
0x7e406c	datum
0x7e4070	datum
0x7e4074	datum
0x7e4078	datum
0x7e407c	datum
0x7e4080	datum
0x7e4084	datum
0x7e4088	datum
0x7e408c	datum
0x7e4090	datum
0x7e4094	datum
0x7e4098	datum
0x7e409c	datum
0x7e40a0	datum
0x7e40a4	datum
0x7e40a8	datum
0x7e40ac	datum
0x7e40b0	datum
0x7e40b4	datum
0x7e40b8	datum
0x7e40bc	datum
0x7e40c0	datum
0x7e40c4	datum
0x7e40c8	datum
0x7e40cc	datum
0x7e40d0	datum
0x7e40d4	datum
0x7e40d8	datum
0x7e40dc	datum
0x7e40e0	datum
0x7e40e4	datum
0x7e40e8	datum
0x7e40ec	datum
0x7e40f0	datum
0x7e40f4	datum
0x7e40f8	datum
0x7e40fc	datum
0x7e4100	datum
0x7e4104	datum
0x7e4108	datum
0x7e410c	datum
0x7e4110	datum
0x7e4114	datum
0x7e4118	datum
0x7e411c	datum
0x7e4120	datum
0x7e4124	datum
0x7e4128	datum
0x7e412c	datum
0x7e4130	datum
0x7e4134	datum
0x7e4138	datum
0x7e413c	datum
0x7e4140	datum
0x7e4144	datum
0x7e4148	datum
0x7e414c	datum
0x7e4150	datum
0x7e4154	datum
0x7e4158	datum
0x7e415c	datum
0x7e4160	datum
0x7e4164	datum
0x7e4168	datum
0x7e416c	datum
0x7e4170	datum
0x7e4174	datum
0x7e4178	datum
0x7e417c	datum
0x7e4180	datum
0x7e4184	datum
0x7e4188	datum
0x7e418c	datum
0x7e4190	datum
0x7e4194	datum
0x7e4198	datum
0x7e419c	datum
0x7e41a0	datum
0x7e41a4	datum
0x7e41a8	datum
0x7e41ac	datum
0x7e41b0	datum
0x7e41b4	datum
0x7e41b8	datum
0x7e41bc	datum
0x7e41c0	datum
0x7e41c4	datum
0x7e41c8	datum
0x7e41cc	datum
0x7e41d0	datum
0x7e41d4	datum
0x7e41d8	datum
0x7e41dc	datum
0x7e41e0	datum
0x7e41e4	datum
0x7e41e8	datum
0x7e41ec	datum
0x7e41f0	datum
0x7e41f4	datum
0x7e41f8	datum
0x7e41fc	datum
0x7e4200	datum
0x7e4204	datum
0x7e4208	datum
0x7e420c	datum
0x7e4210	datum
0x7e4214	datum
0x7e4218	datum
0x7e421c	datum
0x7e4220	datum
0x7e4224	datum
0x7e4228	datum
0x7e422c	datum
0x7e4230	datum
0x7e4234	datum
0x7e4238	datum
0x7e423c	datum
0x7e4240	datum
0x7e4244	datum
0x7e4248	datum
0x7e424c	datum
0x7e4250	datum
0x7e4254	datum
0x7e4258	datum
0x7e425c	datum
0x7e4260	datum
0x7e4264	datum
0x7e4268	datum
0x7e426c	datum
0x7e4270	datum
0x7e4274	datum
0x7e4278	datum
0x7e427c	datum
0x7e4280	datum
0x7e4284	datum
0x7e4288	datum
0x7e428c	datum
0x7e4290	datum
0x7e4294	datum
0x7e4298	datum
0x7e429c	datum
0x7e42a0	datum
0x7e42a4	datum
0x7e42a8	datum
0x7e42ac	datum
0x7e42b0	datum
0x7e42b4	datum
0x7e42b8	datum
0x7e42bc	datum
0x7e42c0	datum
0x7e42c4	datum
0x7e42c8	datum
0x7e42cc	datum
0x7e42d0	datum
0x7e42d4	datum
0x7e42d8	datum
0x7e42dc	datum
0x7e42e0	datum
0x7e42e4	datum
0x7e42e8	datum
0x7e42ec	datum
0x7e42f0	datum
0x7e42f4	datum
0x7e42f8	datum
0x7e42fc	datum
0x7e4300	datum
0x7e4304	datum
0x7e4308	datum
0x7e430c	datum
0x7e4310	datum
0x7e4314	datum
0x7e4318	datum
0x7e431c	datum
0x7e4320	datum
0x7e4324	datum
0x7e4328	datum
0x7e432c	datum
0x7e4330	datum
0x7e4334	datum
0x7e4338	datum
0x7e433c	datum
0x7e4340	datum
0x7e4344	datum
0x7e4348	datum
0x7e434c	datum
0x7e4350	datum
0x7e4354	datum
0x7e4358	datum
0x7e435c	datum
0x7e4360	datum
0x7e44ec	datum
0x7e44f0	datum
0x7e44f4	datum
0x7e44f8	datum
0x7e44fc	datum
0x7e4500	datum
0x7e4504	datum
0x7e4508	datum
0x7e450c	datum
0x7e4510	datum
0x7e4514	datum
0x7e4518	datum
0x7e451c	datum
0x7e4520	datum
0x7e4524	datum
0x7e4528	datum
0x7e452c	datum
0x7e4530	datum
0x7e4534	datum
0x7e4538	datum
0x7e453c	datum
0x7e4540	datum
0x7e4544	datum
0x7e4548	datum
0x7e454c	datum
0x7e4550	datum
0x7e4554	datum
0x7e4558	datum
0x7e455c	datum
0x7e4560	datum
0x7e4564	datum
0x7e4568	datum
0x7e456c	datum
0x7e4570	datum
0x7e4574	datum
0x7e4578	datum
0x7e457c	datum
0x7e4580	datum
0x7e4584	datum
0x7e4588	datum
0x7e458c	datum
0x7e4590	datum
0x7e4594	datum
0x7e4598	datum
0x7e459c	datum
0x7e45a0	datum
0x7e45a4	datum
0x7e45a8	datum
0x7e45ac	datum
0x7e45b0	datum
0x7e45b4	datum
0x7e45b8	datum
0x7e45bc	datum
0x7e45c0	datum
0x7e45c4	datum
0x7e45c8	datum
0x7e45cc	datum
0x7e45d0	datum
0x7e45d4	datum
0x7e45d8	datum
0x7e45dc	datum
0x7e45e0	datum
0x7e45e4	datum
0x7e45e8	datum
0x7e45ec	datum
0x7e45f0	datum
0x7e45f4	datum
0x7e45f8	datum
0x7e45fc	datum
0x7e4600	datum
0x7e4604	datum
0x7e4608	datum
0x7e460c	datum
0x7e4610	datum
0x7e4614	datum
0x7e4618	datum
0x7e461c	datum
0x7e4620	datum
0x7e4624	datum
0x7e4628	datum
0x7e462c	datum
0x7e4630	datum
0x7e4634	datum
0x7e4638	datum
0x7e463c	datum
0x7e4640	datum
0x7e4644	datum
0x7e4648	datum
0x7e464c	datum
0x7e4650	datum
0x7e4654	datum
0x7e4658	datum
0x7e465c	datum
0x7e4660	datum
0x7e4664	datum
0x7e4668	datum
0x7e466c	datum
0x7e4670	datum
0x7e4674	datum
0x7e4678	datum
0x7e467c	datum
0x7e4680	datum
0x7e4684	datum
0x7e4688	datum
0x7e468c	datum
0x7e4690	datum
0x7e4694	datum
0x7e469c	datum
0x7e46a4	datum
0x7e46ac	datum
0x7e46b4	datum
0x7e46bc	datum
0x7e46c4	datum
0x7e46cc	datum
0x7e46d4	datum
0x7e46dc	datum
0x7e46e0	datum
0x7e46e4	datum
0x7e46e8	datum
0x7e46ec	datum
0x7e46f0	datum
0x7e46f4	datum
0x7e46f8	datum
0x7e46fc	datum
0x7e4700	datum
0x7e4704	datum
0x7e4708	datum
0x7e470c	datum
0x7e4710	datum
0x7e4714	datum
0x7e4718	datum
0x7e471c	datum
0x7e4720	datum
0x7e4724	datum
0x7e4728	datum
0x7e472c	datum
0x7e4730	datum
0x7e4734	datum
0x7e4738	datum
0x7e473c	datum
0x7e4740	datum
0x7e4744	datum
0x7e4748	datum
0x7e474c	datum
0x7e4750	datum
0x7e4754	datum
0x7e4758	datum
0x7e475c	datum
0x7e4760	datum
0x7e4764	datum
0x7e4768	datum
0x7e476c	datum
0x7e4770	datum
0x7e4774	datum
0x7e4778	datum
0x7e477c	datum
0x7e4780	datum
0x7e4784	datum
0x7e4788	datum
0x7e478c	datum
0x7e4790	datum
0x7e4794	datum
0x7e4798	datum
0x7e479c	datum
0x7e47a0	datum
0x7e47a4	datum
0x7e47a8	datum
0x7e47ac	datum
0x7e47b0	datum
0x7e47b4	datum
0x7e47b8	datum
0x7e47bc	datum
0x7e47c0	datum
0x7e47c4	datum
0x7e47c8	datum
0x7e47cc	datum
0x7e47d0	datum
0x7e47d4	datum
0x7e47d8	datum
0x7e47dc	datum
0x7e47e0	datum
0x7e47e4	datum
0x7e47e8	datum
0x7e47ec	datum
0x7e47f0	datum
0x7e47f4	datum
0x7e47f8	datum
0x7e47fc	datum
0x7e4800	datum
0x7e4804	datum
0x7e4808	datum
0x7e480c	datum
0x7e4810	datum
0x7e4814	datum
0x7e4818	datum
0x7e481c	datum
0x7e4820	datum
0x7e4824	datum
0x7e4828	datum
0x7e482c	datum
0x7e4830	datum
0x7e4834	datum
0x7e4838	datum
0x7e483c	datum
0x7e4840	datum
0x7e4844	datum
0x7e4848	datum
0x7e484c	datum
0x7e4850	datum
0x7e4854	datum
0x7e4858	datum
0x7e485c	datum
0x7e4860	datum
0x7e4864	datum
0x7e4868	datum
0x7e486c	datum
0x7e4870	datum
0x7e4874	datum
0x7e4878	datum
0x7e487c	datum
0x7e4880	datum
0x7e4884	datum
0x7e4888	datum
0x7e488c	datum
0x7e4890	datum
0x7e4894	datum
0x7e4898	datum
0x7e489c	datum
0x7e48a0	datum
0x7e48a4	datum
0x7e48a8	datum
0x7e48ac	datum
0x7e48b0	datum
0x7e48b4	datum
0x7e48b8	datum
0x7e48bc	datum
0x7e48c0	datum
0x7e48c4	datum
0x7e48c8	datum
0x7e48cc	datum
0x7e48d0	datum
0x7e48d4	datum
0x7e48d8	datum
0x7e48dc	datum
0x7e48e0	datum
0x7e48e4	datum
0x7e48e8	datum
0x7e48ec	datum
0x7e48f0	datum
0x7e48f4	datum
0x7e48f8	datum
0x7e48fc	datum
0x7e4900	datum
0x7e4904	datum
0x7e4908	datum
0x7e490c	datum
0x7e4910	datum
0x7e4914	datum
0x7e4918	datum
0x7e491c	datum
0x7e4920	datum
0x7e4924	datum
0x7e4928	datum
0x7e492c	datum
0x7e4930	datum
0x7e4934	datum
0x7e4938	datum
0x7e493c	datum
0x7e4940	datum
0x7e4944	datum
0x7e4948	datum
0x7e494c	datum
0x7e4950	datum
0x7e4954	datum
0x7e4958	datum
0x7e495c	datum
0x7e4960	datum
0x7e4964	datum
0x7e4968	datum
0x7e496c	datum
0x7e4970	datum
0x7e4974	datum
0x7e4978	datum
0x7e497c	datum
0x7e4980	datum
0x7e4984	datum
