rva	name	size	type	comment
0x1a02c0	DAT_001b02c0	0x4f0	code	Boost.System 1.48 error_code.obj system_error_category::default_error_condition Windows switch body; disassembly ends at ret 0x1a07ad before its first jump table
0x1a07b0	DAT_001b07b0	0x48	switch::JumpTable[18]	Boost.System error mapping switch table used by jmp [eax*4+0x1b07b0]; 18 relocated code-label pointers end at 0x1a07f8
0x1a07f8	DAT_001b07f8	0xd5	switch::IndexTable<u8>[213]	Boost.System error mapping index for Windows codes 0..0xd4; cmp bound proves 213 entries, followed by a three-byte alignment nop
0x1a08d0	DAT_001b08d0	0x10	switch::JumpTable[4]	Boost.System error mapping table used by jmp [ecx*4+0x1b08d0]; four relocated code-label pointers end at 0x1a08e0
0x1a08e0	DAT_001b08e0	0x12	switch::IndexTable<u8>[18]	Boost.System error mapping index for Windows codes 0x3e3..0x3f4; the subtract and cmp 0x11 prove 18 entries
0x1a08f4	DAT_001b08f4	0x7c	switch::JumpTable[31]	Boost.System error mapping table used by jmp [edx*4+0x1b08f4]; 31 relocated code-label pointers end at 0x1a0970
0x1a0970	DAT_001b0970	0x39	switch::IndexTable<u8>[57]	Boost.System error mapping index for Windows codes 0x2719..0x2751; the subtract and cmp 0x38 prove 57 entries through the contribution end
0x1a2810	DAT_001b2810	0x3c	code	SpeedTree CCoordSys::GetBuiltInConverter body; enum switch returns the four reviewed CoordSys.obj singleton addresses and ends at ret 0x1a284b
0x1a284c	DAT_001b284c	0x10	switch::JumpTable[4]	CCoordSys::GetBuiltInConverter jump table; cmp type,3 and four relocated case pointers prove the 16-byte extent through the CoordSys.obj contribution end
0x3455f0	DAT_003555f0	0x180	code	libpng pngerror.obj private numeric-formatting helper; one EBP-frame body with five format cases ends at ret 0x34576f before its jump table
0x345770	DAT_00355770	0x14	switch::JumpTable[5]	pngerror.obj formatting-mode jump table; subtract 1 and cmp 4 prove five relocated code-label pointers through the contribution end
0x347460	DAT_00357460	0x1cc	code	libpng png.obj private floating-point syntax parser; one EBP-frame state-machine body ends at ret 0x34762b before its tables
0x34762c	DAT_0035762c	0x1c	switch::JumpTable[7]	png.obj character-class dispatch table used at 0x3474a7; seven relocated code-label pointers end at 0x347648
0x347648	DAT_00357648	0x3b	switch::IndexTable<u8>[59]	png.obj character index after subtracting '+' and comparing with 0x3a; bound proves 59 entries, followed by one alignment byte
0x347684	DAT_00357684	0x24	switch::JumpTable[9]	png.obj parser-state dispatch table used at 0x347517; nine relocated code-label pointers end at 0x3476a8
0x3476a8	DAT_003576a8	0x1e	switch::IndexTable<u8>[30]	png.obj parser-state index selected after subtracting 4 and comparing with 0x1d; bound proves 30 entries through the contribution end
0x348630	DAT_00358630	0x263	code	libpng png_create_read_struct_2 body; allocation, version check, callback setup, cleanup paths, and final ret end at 0x348892, followed by one alignment nop
0x348894	DAT_00358894	0x1c	switch::JumpTable[7]	png_create_read_struct_2 version-mismatch dispatch table; add 6 and cmp 6 prove seven relocated code-label pointers through the pngread.obj contribution end
0x348d50	DAT_00358d50	0x6ce	code	libpng png_read_row body; row setup, color-type dispatch, transforms, callbacks, and final ret end at 0x34941d, followed by a two-byte alignment nop
0x349420	DAT_00359420	0x18	switch::JumpTable[6]	png_read_row color-type jump table; cmp color_type,5 proves six relocated code-label pointers through the pngread.obj contribution end
0x34c080	DAT_0035c080	0x2dd	code	libpng png_do_unshift body; channel-shift setup and bit-depth-specific row loops end at ret 0x34c35c, followed by a three-byte alignment nop
0x34c360	DAT_0035c360	0x14	switch::JumpTable[5]	png_do_unshift bit-depth dispatch table; five relocated code-label pointers end at 0x34c374
