identity	module	section	target_rva	base_rva	target_size	base_size	status	target_hash	base_hash	relocation_hash	note
E:?ASCII_Names@ByteArray@fl_utils@Instances@AS3@GFx@Scaleform@@1PAPBDA	gfx	.data	0x9a48c8	0x9e6b30	44	44	EXACT	85759b3811ff7dc47b03792ac85317be51431a3f9e01dcafce317ed736a391b0	85759b3811ff7dc47b03792ac85317be51431a3f9e01dcafce317ed736a391b0	296924e03c30c285f59209e94f214f869cd5997e214a01afc8f1517129679bbd/296924e03c30c285f59209e94f214f869cd5997e214a01afc8f1517129679bbd	-
E:?ASCII_Names@Socket@fl_net@Instances@AS3@GFx@Scaleform@@1PAPBDA	gfx	.data	0x9a4a00	0x9e6a6c	44	44	EXACT	85759b3811ff7dc47b03792ac85317be51431a3f9e01dcafce317ed736a391b0	85759b3811ff7dc47b03792ac85317be51431a3f9e01dcafce317ed736a391b0	296924e03c30c285f59209e94f214f869cd5997e214a01afc8f1517129679bbd/296924e03c30c285f59209e94f214f869cd5997e214a01afc8f1517129679bbd	-
E:?AVM1MovieCI@fl_display@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x86e98c	0x81307c	28	28	EXACT	3addfb141cd7c9c4c6543a82191a3707ac29c7a041217782e61d4d91c691aee8	3addfb141cd7c9c4c6543a82191a3707ac29c7a041217782e61d4d91c691aee8	077a371aac3cdfdf0087a42103dfe6054f724a27480e45aa97b1b3d9db3a6eda/077a371aac3cdfdf0087a42103dfe6054f724a27480e45aa97b1b3d9db3a6eda	-
E:?AVM1MovieTI@fl_display@AS3@GFx@Scaleform@@3UTypeInfo@234@B	gfx	.rdata	0x86e978	0x813068	20	20	EXACT	21fc3f955c14305ed66b2f6064de082e8447f29048da3ab7c5c01090c1b722ab	21fc3f955c14305ed66b2f6064de082e8447f29048da3ab7c5c01090c1b722ab	8b5e2937b2da7e18f3f725e72706f7cd27512e704e88ffccda3c103cf26247a4/8b5e2937b2da7e18f3f725e72706f7cd27512e704e88ffccda3c103cf26247a4	-
E:?AccessibilityCI@fl_accessibility@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x86dfe0	0x80faf0	28	28	EXACT	d1a074e3117bc0062f33d4899a45eecad194235e10d11680d6e2a90fd2c47ea6	d1a074e3117bc0062f33d4899a45eecad194235e10d11680d6e2a90fd2c47ea6	c8b83b3cc8e655ed3bf10041d586e9d33d30cc31c8e7ceeb8a15f488a6c4f526/c8b83b3cc8e655ed3bf10041d586e9d33d30cc31c8e7ceeb8a15f488a6c4f526	-
E:?AccessibilityImplementationCI@fl_accessibility@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x86e118	0x80fc28	28	28	EXACT	5ba5e79cbec325789b300adb84672e3843eaa25dfda69e1caa6ee7d1e8511f89	5ba5e79cbec325789b300adb84672e3843eaa25dfda69e1caa6ee7d1e8511f89	71f4e880ec17791da2c996778de33f39c402d3e67be1e00b8de8a61d7a2e4f27/71f4e880ec17791da2c996778de33f39c402d3e67be1e00b8de8a61d7a2e4f27	-
E:?AccessibilityImplementationTI@fl_accessibility@AS3@GFx@Scaleform@@3UTypeInfo@234@B	gfx	.rdata	0x86dffc	0x80fb0c	20	20	BYTES	21fc3f955c14305ed66b2f6064de082e8447f29048da3ab7c5c01090c1b722ab	c970eb65536a02c8da8840f8d06cd3fd15b7f0a30978d0ec1e128a4d97cd18d5	79aff77667b9f73b9e43e251a10c968b4c98ba45ae43af4fb224da7126aec355/79aff77667b9f73b9e43e251a10c968b4c98ba45ae43af4fb224da7126aec355	first normalized byte differs at +0x0: target=0x01 base=0x21
E:?AccessibilityPropertiesCI@fl_accessibility@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x86e190	0x80fca0	28	28	EXACT	84a621f6ed3fa9e0aa9dc429559c2aeb8186d92bbccb65145b17a0e7948f70fa	84a621f6ed3fa9e0aa9dc429559c2aeb8186d92bbccb65145b17a0e7948f70fa	4a6be4897c27838c8d287cfcc573c55945ee82eb76f349c15cd7c231fa58f138/4a6be4897c27838c8d287cfcc573c55945ee82eb76f349c15cd7c231fa58f138	-
E:?AccessibilityPropertiesTI@fl_accessibility@AS3@GFx@Scaleform@@3UTypeInfo@234@B	gfx	.rdata	0x86e134	0x80fc44	20	20	EXACT	21fc3f955c14305ed66b2f6064de082e8447f29048da3ab7c5c01090c1b722ab	21fc3f955c14305ed66b2f6064de082e8447f29048da3ab7c5c01090c1b722ab	d9c55aec4d003dcdb9c791613fcd0a27c7b9820f9660b2e9ceb0359deb386ec4/d9c55aec4d003dcdb9c791613fcd0a27c7b9820f9660b2e9ceb0359deb386ec4	-
E:?AccessibilityTI@fl_accessibility@AS3@GFx@Scaleform@@3UTypeInfo@234@B	gfx	.rdata	0x86dfcc	0x80fadc	20	20	BYTES	2970e4d6d9895d6bfbaccad11f4190ea25dc4044c27663c2cf7a3eef26224a70	21de5bc2f6916834152a731f6931160144b7808f34e9085fd5cd4bde32e5acf6	a0d7f28e953b3ec1c691c41e51c2aa754607a195910eb8baf2bd91ed1ad4ca02/a0d7f28e953b3ec1c691c41e51c2aa754607a195910eb8baf2bd91ed1ad4ca02	first normalized byte differs at +0x0: target=0x09 base=0x29
E:?ActionScriptVersionCI@fl_display@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x86e934	0x813024	28	28	EXACT	dc27c7ec8e4c15858737886e0178170c14b7b4a039698bb9f41d184776d9f2c7	dc27c7ec8e4c15858737886e0178170c14b7b4a039698bb9f41d184776d9f2c7	e622bc41522c4b4923afe931e7a4b5e1d5b6485ad28ca29f2f8c0420d89a9aa9/e622bc41522c4b4923afe931e7a4b5e1d5b6485ad28ca29f2f8c0420d89a9aa9	-
E:?ActionScriptVersionTI@fl_display@AS3@GFx@Scaleform@@3UTypeInfo@234@B	gfx	.rdata	0x86e920	0x813010	20	20	EXACT	2970e4d6d9895d6bfbaccad11f4190ea25dc4044c27663c2cf7a3eef26224a70	2970e4d6d9895d6bfbaccad11f4190ea25dc4044c27663c2cf7a3eef26224a70	581d0e9aed8c06e305757814a698d12535318461f603fd57259d26ed70942d6f/581d0e9aed8c06e305757814a698d12535318461f603fd57259d26ed70942d6f	-
E:?ActivityEventCI@fl_events@AS3@GFx@Scaleform@@3UClassInfo@234@B	gfx	.rdata	0x867024	0x817874	28	28	EXACT	44a2c4d7c2487eaeea9a1b4b4c8dcd6891b0dbfbd4b077cb9bcd27e0653dfa6c	44a2c4d7c2487eaeea9a1b4b4c8dcd6891b0dbfbd4b077cb9bcd27e0653dfa6c	b3389c635661e1581c005a5a427cd0a2d0f2b9a5bf7236b7b2cf24e945269d90/b3389c635661e1581c005a5a427cd0a2d0f2b9a5bf7236b7b2cf24e945269d90	-
