selector	unit	baseline_cur	baseline_max	baseline_ledger_class	pdb_nonmatch_channels	addressed_diff	batch_action
??$?GG@network_core@vostok@@YAHABV?$sequence_number@G@01@0@Z	vostok/network_core/sequence_number_inline.h	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$call_predicate@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@AAEXABVprocess_packet_predicate@12@AAVpacket_reader@12@@Z	vostok/network_core/udp_match_connection_inline.h	99.6352	99.6352	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$on_packet_size_received@E@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	94.0141	94.0141	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x2a;SIZE +0x26	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$on_packet_size_received@G@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	94.0141	94.0141	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x2a;SIZE +0x26	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$process_incoming_packet@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@QAEXAAVpacket_reader@12@ABVprocess_packet_predicate@12@@Z	vostok/network_core/udp_match_connection_inline.h	99.7792	99.7792	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	BASE_ONLY;TRGT_ONLY	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r@G@packet_reader@network_core@vostok@@QAEGXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r@I@packet_reader@network_core@vostok@@QAEIXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r@M@packet_reader@network_core@vostok@@QAEMXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r@Vfloat3@math@vostok@@@packet_reader@network_core@vostok@@QAE?AVfloat3@math@2@XZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r@_N@packet_reader@network_core@vostok@@QAE_NXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	identity:AMBIGUOUS	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??$r_string@$0BA@@packet_reader@network_core@vostok@@QAEPADAAY0BA@D@Z	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAE@XZ	vostok/network_core/packet_inline.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0async_connector@network_core@vostok@@QAE@XZ	vostok/network_core/sources/async_connector.cpp	92.0882	92.0882	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0channel@udp_match_connection@network_core@vostok@@QAE@XZ	vostok/network_core/udp_match_connection.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0handler_allocator@network_core@vostok@@QAE@XZ	vostok/network_core/handler_allocator.h	-	-	-	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0http_client@network@vostok@@QAE@AAUworld@12@@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0http_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0login_client@network@vostok@@QAE@AAUworld@12@@Z	vostok/network/sources/login_client.cpp	76.7736	80.0755	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x39	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0login_client_impl@network@vostok@@QAE@AAVio_service@asio@boost@@@Z	vostok/network/sources/login_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0match_client@network@vostok@@QAE@AAUworld@12@AAUudp_match_packets_orderer@network_core@2@PBUudp_network_flow_emulator_options@52@@Z	vostok/network/sources/match_client.cpp	93.5885	93.5885	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0match_client_impl@network@vostok@@QAE@AAVio_service@asio@boost@@AAUudp_match_packets_orderer@network_core@2@PBUudp_network_flow_emulator_options@72@@Z	vostok/network/sources/match_client_impl.cpp	92.6739	92.6739	SIZE	statement_structure:MISMATCH	SIZE +0x6	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0network_world@network@vostok@@QAE@AAUengine@12@AAVbase_allocator@memory@2@@Z	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0order@network@vostok@@QAE@XZ	vostok/network_core/http_client.h	100	100	MATCH	location:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
??0string_order@network@vostok@@QAE@AAVbase_allocator@memory@2@ABV?$function@$$A6AXPBD00@Z@boost@@QBD22@Z	vostok/network/sources/string_order.h	99.7679	99.7679	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
