# SPDX-License-Identifier: GPL-3.0-or-later
# Baseline c8ac5dd58 / build 55cb785a6f3e4f7ca5fe28936f0cab35; see structure_campaign.md.
id	channel	selector	rva	observation	disposition	evidence
S001	aligned_structure	??$?GG@network_core@vostok@@YAHABV?$sequence_number@G@01@0@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x137b20 rva=0x127b20  3 stmts  0x4d bytes | ; base   va=0x1374d0 rva=0x1274d0  3 stmts  0x3b bytes | SIZE -0x12|0x137b36|0x1374e6|0x23|0x11|+1  |+1  |  return s16( left.m_number - right.m_number );
S002	aligned_structure	??$call_predicate@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@AAEXABVprocess_packet_predicate@12@AAVpacket_reader@12@@Z		PROJECTED_MATCH	aligned_match_only	; target va=0x131d00 rva=0x121d00  27 stmts  0x33a bytes | ; base   va=0x12b4a0 rva=0x11b4a0  27 stmts  0x33a bytes
S003	aligned_structure	??$on_packet_size_received@E@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x134480 rva=0x124480  22 stmts  0x452 bytes | ; base   va=0x133f80 rva=0x123f80  22 stmts  0x4a2 bytes | SIZE +0x2a|0x134734|0x134234|0xa5|0xcf|+35 |+32 |  ); | SIZE +0x26|0x1347fb|0x134325|0xbc|0xe2|+52 |+44 |  );
S004	aligned_structure	??$on_packet_size_received@G@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x135370 rva=0x125370  22 stmts  0x454 bytes | ; base   va=0x134ea0 rva=0x124ea0  22 stmts  0x4a4 bytes | SIZE +0x2a|0x135626|0x135156|0xa5|0xcf|+35 |+32 |  ); | SIZE +0x26|0x1356ed|0x135247|0xbc|0xe2|+52 |+44 |  );
S005	aligned_structure	??$process_incoming_packet@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@QAEXAAVpacket_reader@12@ABVprocess_packet_predicate@12@@Z		STATEMENT_PRESENCE	needs_statement_review	; target va=0x131980 rva=0x121980  43 stmts  0x374 bytes | ; base   va=0x12b120 rva=0x11b120  43 stmts  0x374 bytes | BASE_ONLY|--      |0x12b3e8|--  |0x5 |--  |+51 |  else | TRGT_ONLY|0x131c48|--      |0x5 |--  |+54 |--  |--
S006	aligned_structure	??0login_client@network@vostok@@QAE@AAUworld@12@@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x57a180 rva=0x56a180  3 stmts  0x17d bytes | ; base   va=0x53ec20 rva=0x52ec20  3 stmts  0x1ca bytes | SIZE +0x39|0x57a203|0x53ecb7|0xf0|0x129|+7  |+8  | );
S007	aligned_structure	??0match_client_impl@network@vostok@@QAE@AAVio_service@asio@boost@@AAUudp_match_packets_orderer@network_core@2@PBUudp_network_flow_emulator_options@72@@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x776240 rva=0x766240  2 stmts  0x221 bytes | ; base   va=0x764970 rva=0x754970  2 stmts  0x227 bytes | SIZE +0x6|0x776381|0x764ab1|0x67|0x6d|0   |0   | m_client.set_on_packet_received ( boost::bind( &match_client_impl::on_packet_received, this, _1, _2 ) );
S008	aligned_structure	??0tcp_packet_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x78cc70 rva=0x77cc70  1 stmts  0x12d bytes | ; base   va=0x778f90 rva=0x768f90  1 stmts  0x11f bytes | SIZE +0x1b|0x78cd34|0x77902c|0x5e|0x79|0   |0   | m_packet_socket.set_on_error( boost::bind( &tcp_packet_client::on_error, this, _1, _2 ) );
S009	aligned_structure	??1connect_order@network@vostok@@UAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0xeaee0 rva=0xdaee0  4 stmts  0x81 bytes | ; base   va=0x119680 rva=0x109680  4 stmts  0x8e bytes | SIZE +0xd|0x0eaf1a|0x1196ba|0x18|0x25|+6  |+5  |   network_core::delete_udp_match_packet ( *m_packets_allocator, temp );
S010	aligned_structure	??1enqueue_order@network@vostok@@UAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0xeada0 rva=0xdada0  4 stmts  0xa6 bytes | ; base   va=0x119860 rva=0x109860  4 stmts  0xb4 bytes | SIZE +0xe|0x0eadc0|0x119880|0x1a|0x28|+2  |+2  |  network_core::delete_udp_match_packet ( *m_allocator, temp );
S011	aligned_structure	??1http_client@network@vostok@@QAE@XZ		PROJECTED_MATCH	aligned_match_only	; target va=0x78b200 rva=0x77b200  2 stmts  0x12e bytes | ; base   va=0x777310 rva=0x767310  2 stmts  0x12e bytes
S012	aligned_structure	??1login_client_impl@network@vostok@@QAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0x579a80 rva=0x569a80  19 stmts  0x19f bytes | ; base   va=0x675320 rva=0x665320  19 stmts  0x1a3 bytes | SIZE +0x3|0x579b12|0x6753b1|0x1c|0x1f|+15 |+18 |                  login_server_message_types_enum ) >( ) ); | SIZE +0x3|0x579b69|0x67540b|0x1c|0x1f|+30 |+33 |                  login_server_message_types_enum ) >( ) );
S013	aligned_structure	??1match_client@network@vostok@@QAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0x75c6c0 rva=0x74c6c0  3 stmts  0x148 bytes | ; base   va=0x74f320 rva=0x73f320  3 stmts  0x1b7 bytes | SIZE +0x29|0x75c6ca|0x74f330|0xd8|0x101|0   |0   | ); | SIZE +0x2e|0x75c7a2|0x74f431|0xd |0x3b |+1  |+1  | m_response_packets_allocator = 0; | SIZE +0x3 |0x75c7af|0x74f46c|0x12|0x15 |+2  |+2  | m_world.add_order  ( order );
S014	aligned_structure	??1receive_udp_response@network@vostok@@UAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0xeb0f0 rva=0xdb0f0  2 stmts  0x6e bytes | ; base   va=0x119b90 rva=0x109b90  2 stmts  0x7c bytes | SIZE +0xe|0x0eb10f|0x119baf|0x1a|0x28|+1  |+1  |  network_core::delete_udp_match_packet ( *m_allocator, temp );
S015	aligned_structure	??1udp_network_flow_emulator@network_core@vostok@@QAE@XZ		STATEMENT_SIZE	needs_assembly_review	; target va=0x738990 rva=0x728990  4 stmts  0x6f bytes | ; base   va=0x7366a0 rva=0x7266a0  4 stmts  0x71 bytes | SIZE +0x2|0x738999|0x7366a9|0x17|0x19|0   |0   | while ( m_delayed_packets.begin( ) != m_delayed_packets.end( ) ) {
S016	aligned_structure	??Pnetwork_core@vostok@@YA_NABUudp_match_stats@01@0@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0xeab70 rva=0xdab70  1 stmts  0xd6 bytes | ; base   va=0x1191d0 rva=0x1091d0  1 stmts  0xc9 bytes | SIZE -0xd|0x0eab76|0x1191d6|0xcc|0xbf|0   |0   |  && left.received_low_level >= right.received_low_level;
S017	aligned_structure	?add_packet@udp_network_flow_emulator@network_core@vostok@@AAEXPAEIABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@II@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x738cf0 rva=0x728cf0  10 stmts  0x164 bytes | ; base   va=0x736a10 rva=0x726a10  10 stmts  0x15e bytes | SIZE -0x6|0x738d4b|0x736a6b|0x39|0x33|+7  |+6  | packet->last_send_time_in_ms = m_ping_random( m_max_ping_time_in_ms - m_min_ping_time_in_ms ) + m_min_ping_time_in_ms + time_in_ms;
S018	aligned_structure	?add_result_content@http_client@network_core@vostok@@AAE_NXZ		PROJECTED_MATCH	aligned_match_only	; target va=0x789ca0 rva=0x779ca0  6 stmts  0x1a9 bytes | ; base   va=0x775a10 rva=0x765a10  6 stmts  0x1a9 bytes
S019	aligned_structure	?buffer_to_receive_into@network_core@vostok@@YA?AVmutable_buffers_1@asio@boost@@AAVtcp_packet@12@@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x6e79a0 rva=0x6d79a0  2 stmts  0x46 bytes | ; base   va=0x6f15e0 rva=0x6e15e0  2 stmts  0x49 bytes | SIZE +0x3|0x6e79b2|0x6f15f2|0x30|0x33|+1  |+1  | return boost::asio::buffer( packet.buffer(), packet.buffer_size() );
S020	aligned_structure	?buffer_to_send@network_core@vostok@@YA?AVconst_buffers_1@asio@boost@@AAVtcp_packet@12@@Z		STATEMENT_SIZE	needs_assembly_review	; target va=0x6e78e0 rva=0x6d78e0  11 stmts  0xbc bytes | ; base   va=0x6f1520 rva=0x6e1520  11 stmts  0xbf bytes | SIZE +0x3|0x6e78f1|0x6f1531|0x8 |0xb |+1  |+1  | pbyte const buffer = packet.buffer();
