# SPDX-License-Identifier: GPL-3.0-or-later
# Re-audit snapshot: HEAD 2552be5fa, build bd28186b79c34f1aa5d20331c7c04a1a. Not closure claims.
selector	unit	baseline_cur	observation	disposition	next_check	previous_note
??$?GG@network_core@vostok@@YAHABV?$sequence_number@G@01@0@Z	vostok/network_core/sequence_number_inline.h	81.3333	size_only	measured_match	Build c7afede9: 100%, three statements/77B, zero locals, 30/30 instructions; modulo reconstruction restores retail half-window sign.	network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
??$call_predicate@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@AAEXABVprocess_packet_predicate@12@AAVpacket_reader@12@@Z	vostok/network_core/udp_match_connection_inline.h	99.6352	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs. | Retail PDB declaration audit: restored exact top-level CV spelling; clean-PDB divergences cleared with byte-identical output.
??$on_packet_size_received@E@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	94.0141	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
??$on_packet_size_received@G@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	94.0141	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
??$process_incoming_packet@Vprocess_packet_predicate@network_core@vostok@@@udp_match_connection@network_core@vostok@@QAEXAAVpacket_reader@12@ABVprocess_packet_predicate@12@@Z	vostok/network_core/udp_match_connection_inline.h	99.7792	statement_presence_or_alignment	needs_reaudit	Compare ordinal spans and source/control-flow geometry; distinguish real missing statements from alignment.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs. | Retail PDB declaration audit: restored exact top-level CV spelling; clean-PDB divergences cleared with byte-identical output.
??0async_connector@network_core@vostok@@QAE@XZ	vostok/network_core/sources/async_connector.cpp	92.0882	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 91.79%] body byte-correct; LTCG ICF fold reps + extra temp slot (frame 10h vs 0Ch) | network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
??0?$packet@Vudp_match_packet@network_core@vostok@@@network_core@vostok@@QAE@XZ	vostok/network_core/packet_inline.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	Target PDB proves an empty derived-template ctor body (zero statements) containing only the base_packet ctor. Retail retains/calls the 0xa COMDAT from udp_match_packet; base inlines the same base ctor stores, so no standalone symbol remains. Concrete LTCG inline/retention wall; no fabricated noinline/anchor.
??0handler_allocator@network_core@vostok@@QAE@XZ	vostok/network_core/handler_allocator.h		unpaired_or_other	needs_reaudit	Resolve target/base aliases, source ownership and live callers; absence alone does not prove inlining.	[DONE 0%] target keeps a standalone ctor COMDAT (0x121730, 32B) our base link never emits (LTCG inlines it into both base ctor call sites) - unpairable, 0% banked. | network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
??0udp_match_connection@network_core@vostok@@QAE@AAV?$basic_datagram_socket@Vudp@ip@asio@boost@@V?$datagram_socket_service@Vudp@ip@asio@boost@@@34@@asio@boost@@ABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@45@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAUudp_match_packets_orderer@12@IIIPBD@Z	vostok/network_core/sources/udp_match_connection.cpp	94.9111	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[DONE 99.51%] full init list matches; residual is ICF-folded call-name noise + handler_allocator stub's trailing byte init (sibling unit)
??0udp_match_client@network_core@vostok@@QAE@AAVio_service@asio@boost@@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAUudp_match_packets_orderer@12@PAVudp_network_flow_emulator@12@@Z	vostok/network_core/sources/udp_match_client.cpp	97.4684	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	[PARTIAL 79.2%] init list + body shape exact; residuals are per-call-site LTCG inline-vs-call, both directions: (a) base CALLS math::max(u32,u32) where target INLINES the max_integral body (both keep the standalone, target 0x0241d0 / base 0x03b4c0, operator| precedent); (b) base INLINES boost::function1::operator= (+0xC frame) where target calls the ICF-folded COMDAT; plus folded-rep this-convention/temp noise. | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
