# legacy_path	class	counterparts	symbol_hits	target_evidence	notes
library_linkage.h	BASENAME	sources/vostok/render/library_linkage.h;sources/vostok/render/engine/library_linkage.h;sources/vostok/render/core/library_linkage.h;sources/vostok/render/core/dx11/library_linkage.h;sources/vostok/render/facade/library_linkage.h	-	target_evidence=0/0	stubs_in_counterpart=0
world.h	BASENAME	sources/vostok/render/world.h;sources/vostok/render/engine/world.h	render_facade_world.h:1;world_pc.h:1	target_evidence=1/1:world	stubs_in_counterpart=0
culling/portal_sector_structure.h	BASENAME	sources/vostok/render/culling/portal_sector_structure.h;sources/vostok/render/facade/sources/portal_sector_structure.cpp	portal_sector_structure.h:2	target_evidence=1/2:portal_sector_structure	stubs_in_counterpart=9
common/sources/blender.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender.h	DEAD	-	-	target_evidence=0/12	stubs_in_counterpart=0
common/sources/blender_combine.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_combine.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_compiler.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_compiler.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_deffer.cpp	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
common/sources/blender_deffer.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_deffer_aref.cpp	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
common/sources/blender_deffer_aref.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_deffer_base.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_deffer_base.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_deffer_materials.cpp	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
common/sources/blender_deffer_materials.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
common/sources/blender_defines.h	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
